User,Rating,Date,ISO_Date,Review,Review_Length,Response
Dinda Nuradriani,4.0,3 tahun lalu,2021-11-06T10:42:31Z,"Sebenernya pengen ngasih bintang 5 tapi menurutku ini ""pantes hype"" karena dia memang murah aja, rasa enak (untuk harganya) dan mereka punya tempat makan yang memang nyaman. Dimana coba makan dengan menu2 yang ngga lebih dari 10rb tapi dikasih tempat senyaman ini? :)
Tapi kalo mau dikasih nilai secara objektif sih buat rasa menurutku sama aja kaya mi yamin pada umumnya, entah kebetulan ato memang biasa kaya pesenanku hari ini, tekstur mi menurutku blm mateng bener (masih kurang kenyal, kaya kalo kita masak mi instan itu 1/2 mateng) sayang bgt sih, krn kebetulan aku dateng itu masih pagi bgt dan sepi tapi masakan udh di serve dg tingkat kematangan yg kesannya ky dimasak terburu2. Es Genduruwo yang katanya andalan mereka pun aku rasa biasa aja, cendrung terlalu dominan airnya utk minuman yang sebenernya mirip sop buah, (masih ada yg lbh enak dg harga yang sama murahnya).
Ga bisa nuntut macem2 sih sebenernya, lagi2 karena dg harga segitu dan tempat yang cukup nyaman, emang Mie Gacoan terbaik di kelasnya :)
Tips nih buat yg baru mau coba, jgn terprovokasi sm review2 d google org blg enak bgt mie iblis level di atas 5. Krn aku pesen level 3 pun udh pedes bgt haha. Jd buat yang doyan pedes tp kadar normal mending pesen level 1 ato 2 aja biar tetep nikmat makannya :)",1280,
ᮏᮤᮠᮃᮔ᮪,5.0,2 tahun lalu,2022-09-25T14:31:39Z,"Tempatnya luas ada 2 lantai outdoor & semi outdoor, jujur mienya bagi aku standar aja, tp udang keju & siomaynya enak bgtttttt 9.5/10😍🤤 sayang pelayanan dine in itu lama tp gapapaa👍🏻
Ada tempat sholat meski tempat wudhunya agak jauh lewat org² yg makan mungkin bisa d perbaharui👍🏻",280,
Fadhlur Rohman,3.0,4 tahun lalu,2021-03-29T15:20:09Z,"Sejujurnya saya memiliki chemistry yang tidak begitu baik dengan cabang Bandung dari restoran ini. Saat kunjungan pertama, saya datang sekitar pukul 7 malam dan kondisi restorannya dalam kondisi mati lampu total, tapi stafnya mengatakan kalau dine-in tetap bisa, we agreed. Namun moment later mereka menyatakan kalau pesanan kita harus di-take away dan pesanannya baru ready satu jam kemudian—sama sekali tidak impressive, namun termaafkan karena mereka benar-benar menghidangkan good food in good price, bahkan saya masih mengkonsider untuk datang lagi. Kunjungan kedua tidak kalah mengecewakan, saya bahkan diusir di pakiran karena mereka tidak menerima pengunjung baru untuk beberapa jam. Wait for that long? Definitely No! Di aplikasi pesan antar pun mereka tidak buka-buka, until one day mereka magically buka.

Cabang pertama Mie Gacoan di Bandung ini berada di dekat Kampus UNPAS Setiabudhi. Tempatnya sepertinya menempati eks-restoran Korea. Tempatnya terhitung sangat luas, cukup tematik, dan lumayan nyaman. Sayangnya mereka seperti belum siap untuk menghadapi permintaan yang tinggi. Service-nya benar-benar chaotic dan tidak ada protokol kesehatan. Jika saya boleh sedikit menganalisa penyebab utama kekeosan pelayanannya adalah dapurnya yang kecil serta kasirnya yang hanya satu kurang memadai untuk restoran yang sebesar ini apalagi dengan demand yang sangat tinggi.

Food and Beverage:
Menu makanan dan minuman tidak banyak namun semuanya dibanderol dengan harga yang sangat murah, paling mahal bahkan hanya 10.5K. Kali ini saya nyobain Mie Setan dan Mie Iblis masing masing dengan level paling tinggi yaitu level 8. Bagi yang toleransi pedasnya rendah sebaiknya memesan level yang lebih rendah. Kedua menu basically hampir sama, berupa mie dengan tekstur yang mirip yamin yang disajikan bersama sambal, ayam cincang, dan tiga buah pangsit isi ayam. Perbedaannya terletak pada mie iblis menggunakan kecap sehingga citarasanya pedas-manis-gurih sedangkan mie setan hanya pedas-gurih saja. Saya pribadi jauh lebih suka Mie Iblis. Selain itu saya mencoba dimsum udang rambutan (8.6K) yang berupa semacam pangsit goreng dengan isian pasta udang dan di bagian luarnya diselimuti dengan mie goreng sehingga bentukannya seperti rambutan. Sejujurnya menu ini citarasanya sangat biasa. Untuk minumannya saya memesan Es Pocong (8.6K) dengan citarasa yang menyegarkan.",2372,
Anjar Dwi Kurniawan,4.0,4 tahun lalu,2021-03-14T03:43:15Z,"Rasa makanannya enak, sangat cocok dicoba untuk pecinta pedas karena menu-menunya dapat dipesan hingga level kepedasan 8. Harganya sangat murah, menu dengan harga paling mahal yaitu itu Rp10.500. Tempatnya luas tersedia dua lantai dan juga ada ada mushola serta Toilet yang bersih. Tersedia juga tempat parkir yang luas. Pelayanan perlu ditingkatkan terutama dalam kecepatan menyajikan hidangan hidangan bagi para tamu sehingga kamu tidak perlu menunggu lama untuk mendapatkan makanan yang dipesannya",500,
Aditia Solehudin,5.0,4 tahun lalu,2021-03-14T16:25:13Z,"Setelah Cirebon, akhirnya Gacoan buka cabang kedua di Jawa Barat. Yess Bandung! Tempatnya luas, parkirannya luas, rasa mienya tetap enak dan pas juga harganya tetap murah! Kekurangannya hampir sama di semua cabang gacoan yakni meja kasir hanya 1 orang. Meskipun ada antrian khusus ojol, tetapi tetap yang melayani kasirnya sama dengan yang mau dine in atau take away. Mohon untuk dipertimbangkan kembali.",404,
Hazela,5.0,2 tahun lalu,2022-06-24T01:55:31Z,"Gak salah sih kalau selalu rame, makannya enak dan juga murah.
Kalau aku lebih suka udang rambutan dan udang kejunya. Kalau mienya gak terlalu suka sih.
Pesan enam menu hanya 60rb saja.",185,
Agung Rusmana,5.0,3 tahun lalu,2022-05-24T12:03:31Z,"Worth it sih ngantri berjam-jam, bukan karena rasanya, tapi harganya yang murah. In my opinion, mienya yang jadi menu utama malah biasa aja hmmm yauda gitu aja nothing special, yang enak justru side dishnya (dimsum), dan yang bikin seneng adalah minumannya seger banget dan terlalu murah buat harga segitu hihihi. Overall, buat harga 10rebuan bener-bener ga mengecewakan dan boleh masuk list jajanan kalo lagi di Bandung .",422,
Fira Pangestu,5.0,4 tahun lalu,2021-04-05T23:10:16Z,"So far tempatnya nyaman, dan pas saya kunjungan kesini rame banget ya, mungkin karena harga yg affordable dan tempat yg lumayan nyaman.
Sayangnya saat ini hanya bisa dine in sampai jam 6 sore dan sisanya take away sampai jam 9 malam. Untuk dine in satu meja hanya bole untuk 2 org.",281,
Moch Fauzi,5.0,setahun lalu,2023-08-05T23:44:38Z,"Tempatnya luas banget cuman ya sepertinya sudah tau sendiri kalau antri/nunggu makanan disajikan disini harus sabar, bagi saya ya hanya makan mie aja ya dengan level tertentu, ada mushola tapi kecil, kalau toilet cukup bagus.",225,
Lucas Burhan,5.0,setahun lalu,2023-12-18T14:00:01Z,"Mie Gacoan selalu bershabat di kantong serta di lidah karena dengan harga yg murah sudah berasa menang banyak. Selain mienya juga banyak, bumbunya juga berasa, pedasnya bisa pilih, dapat pangsit goreng isi daging tebal pula. Tempat selalu besar dan nyaman, minuman juga beragam dan murah, sampai terheran-heran sebenernya untung berapa ya hehe. Namun, itulah alasan mengapa Mie Gacoan selalu rame.",397,
